rank,bracket,horse_num,sex_age,weight_constraint,jockey,odds,popularity,horse_weight,trainer,race_id,prev_rank,rest_days,weather,track,sire,bms,lineage,prev1_relative_last3f,prev2_relative_last3f,prev3_relative_last3f,prev1_passage_num,prev2_passage_num,prev3_passage_num,is_long_trip,is_stay,weight_delta,weight_ratio,sire_track_interaction
1.0,4.0,7.0,12,56.0,202,7.5,3.0,464.0,278,202307030810,1.0,90.0,2,2,175,303,14,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.1206896525713437,374
1.0,4.0,7.0,22,58.0,109,7.4,5.0,488.0,186,202307010111,1.0,90.0,2,2,151,216,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11885245658089229,314
1.0,2.0,2.0,20,56.0,46,5.4,3.0,526.0,366,202408070210,1.0,90.0,2,2,94,304,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10646387630296814,188
1.0,2.0,4.0,21,58.0,109,55.7,11.0,532.0,332,202405030410,1.0,90.0,3,2,175,226,14,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10902255434168132,374
1.0,2.0,2.0,20,56.0,195,1.3,1.0,514.0,37,202444022711,1.0,90.0,2,3,185,217,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10894941422277404,394
1.0,8.0,9.0,22,57.0,105,2.6,1.0,521.0,146,202347022309,1.0,90.0,2,2,82,219,15,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10940498830316722,162
1.0,8.0,15.0,21,53.0,217,3.0,1.0,436.0,355,202307010110,1.0,90.0,2,2,64,194,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12155963023945802,121
1.0,5.0,5.0,21,60.0,151,2.7,2.0,508.0,311,202507040101,1.0,90.0,2,2,13,67,3,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11811023389546785,20
1.0,3.0,3.0,20,56.0,220,11.6,5.0,492.0,186,202309020111,1.0,90.0,3,2,137,290,12,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.1138211358979444,287
1.0,5.0,9.0,20,55.0,120,4.8,2.0,494.0,204,202305040311,1.0,90.0,0,0,204,291,15,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11133603013489818,438
1.0,5.0,5.0,6,57.0,207,2.2,1.0,514.0,40,202330092812,1.0,70.0,3,1,156,166,14,50.0,50.0,50.0,3.0,7.0,7.0,0,0,0.0,0.11089493947675215,327
1.0,3.0,3.0,15,54.0,243,1.5,1.0,498.0,11,202435101511,1.0,90.0,3,2,113,273,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10843373276237485,228
1.0,7.0,12.0,20,57.0,154,6.2,3.0,490.0,311,202505020411,1.0,90.0,2,2,114,141,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11632652823823413,231
1.0,1.0,2.0,12,56.0,26,3.7,1.0,488.0,316,202403030111,1.0,90.0,4,0,83,300,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11475409600913739,164
1.0,8.0,11.0,7,61.0,151,4.4,2.0,486.0,295,202306010208,1.0,90.0,2,2,74,62,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.12551440070958023,148
1.0,2.0,2.0,19,54.0,107,4.4,3.0,470.0,129,202330060808,1.0,90.0,2,1,122,276,6,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11489361457673161,247
1.0,2.0,2.0,22,58.0,57,13.5,6.0,496.0,346,202609010410,1.0,90.0,2,2,144,275,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11693548151339755,304
1.0,8.0,12.0,22,58.0,216,12.4,8.0,476.0,330,202510011211,1.0,90.0,3,3,152,290,3,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12184873693595091,319
1.0,8.0,12.0,21,56.0,167,1.4,1.0,588.0,309,202344100411,1.0,87.0,4,0,120,161,5,50.0,50.0,50.0,2.0,4.0,1.0,1,0,-1.0,0.09523809361839977,241
1.0,1.0,1.0,22,58.0,172,6.1,4.0,490.0,302,202509010310,1.0,90.0,3,2,120,329,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11836734452311543,243
1.0,1.0,1.0,13,56.0,201,5.3,3.0,478.0,265,202506030410,1.0,90.0,2,1,44,178,16,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11715480926454375,67
1.0,4.0,6.0,23,60.0,74,7.5,4.0,518.0,252,202306020708,1.0,90.0,4,3,170,285,3,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11583011359401325,362
1.0,7.0,7.0,19,55.0,184,7.9,3.0,454.0,149,202530072208,1.0,90.0,2,2,85,229,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12114537178093895,169
1.0,2.0,2.0,19,56.0,140,9.6,3.0,460.0,203,202305040111,1.0,90.0,2,2,165,275,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12173912778827983,352
1.0,2.0,3.0,20,56.0,30,7.3,4.0,486.0,349,202506050611,1.0,90.0,3,3,107,208,13,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11522633507764743,218
1.0,5.0,6.0,11,55.0,186,6.6,5.0,460.0,192,202406040111,1.0,90.0,2,2,70,16,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11956521479206056,136
1.0,4.0,8.0,22,57.5,217,7.2,4.0,490.0,273,202507010711,1.0,358.0,2,2,209,290,12,50.0,50.0,50.0,7.0,1.0,7.0,0,0,1.5,0.11734693638067477,450
1.0,8.0,15.0,21,57.0,58,13.8,5.0,508.0,252,202506010109,1.0,90.0,2,2,171,167,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11220472220069445,365
1.0,6.0,7.0,20,57.0,126,4.2,2.0,470.0,33,202548060411,1.0,90.0,2,1,195,290,13,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12127659316432782,420
1.0,7.0,12.0,23,57.0,169,5.7,3.0,504.0,353,202403010111,1.0,364.0,3,2,164,221,5,50.0,50.0,50.0,3.0,7.0,7.0,1,0,1.0,0.113095235851285,349
1.0,1.0,1.0,21,57.0,155,3.4,2.0,464.0,254,202405050110,1.0,90.0,0,1,196,303,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12284482493868912,423
1.0,6.0,6.0,5,57.0,245,6.3,4.0,480.0,203,202406030111,1.0,49.0,0,2,72,275,12,50.0,50.0,50.0,1.0,7.0,7.0,0,0,0.0,0.11874999752604172,142
1.0,3.0,3.0,25,60.0,115,6.1,2.0,524.0,328,202304040304,1.0,90.0,4,1,109,238,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11450381460870583,221
1.0,2.0,4.0,21,56.0,46,16.6,8.0,502.0,328,202308030811,1.0,90.0,2,2,92,304,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11155378263837087,184
1.0,6.0,6.0,25,60.0,151,14.4,6.0,480.0,305,202404010104,1.0,90.0,2,2,213,275,12,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.1249999973958334,456
1.0,7.0,14.0,22,58.5,109,4.5,2.0,520.0,221,202506050410,1.0,259.0,3,1,171,305,12,50.0,50.0,50.0,1.0,2.0,4.0,0,0,1.0,0.11249999783653851,364
1.0,5.0,5.0,22,56.0,182,3.1,1.0,501.0,105,202443072211,1.0,90.0,2,2,100,6,14,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11177644487472166,204
1.0,3.0,5.0,20,57.0,154,46.6,9.0,504.0,294,202405021211,1.0,133.0,2,2,63,30,13,50.0,50.0,50.0,1.0,7.0,7.0,1,0,0.0,0.113095235851285,117
1.0,4.0,7.0,11,55.0,16,5.0,3.0,482.0,230,202509020611,1.0,57.0,4,1,48,219,5,50.0,50.0,50.0,1.0,7.0,7.0,1,0,0.0,0.11410788145004395,82
1.0,7.0,9.0,20,57.0,105,1.3,1.0,476.0,162,202447050911,1.0,91.0,2,2,175,216,14,50.0,50.0,50.0,1.0,2.0,7.0,0,0,1.0,0.11974789664395176,374
1.0,6.0,7.0,13,56.0,119,1.1,1.0,452.0,160,202448090511,1.0,411.0,2,2,69,63,5,50.0,50.0,50.0,5.0,7.0,7.0,0,0,1.0,0.12389380256872119,132
